Designator,Mid X,Mid Y,Rotation,Layer
BT1,78.0092991697615,-73.877825590895,319.0,bottom
BT2,132.8773074857884,-93.82241864940892,79.0,bottom
BT3,88.92494463410767,-131.46431047557562,199.5,bottom
C1,83.5,-154.275,90.0,top
C10,84.1,-89.5,180.0,top
C2,72.1,-53.9,275.0,top
C3,50.9524,-72.1868,320.0,top
C4,121.8,-49.0,270.0,top
C5,104.5,-80.1,305.0,top
C6,122.0,-146.5,90.0,top
C8,138.5,-128.5,270.0,top
D1,88.6206,-154.7876,180.0,top
D2,88.646,-156.8704,180.0,top
J1,100.0,-68.81,0.0,top
J2,73.29955678841871,-114.095,120.0,top
J3,126.70044321158129,-114.095,240.0,top
J4,136.1211710855487,-143.37821450174255,130.0,top
J5,142.29069824691845,-66.9340393692448,130.0,top
J6,135.14667755723892,-55.760365735698095,230.0,top
R1,80.94,-108.95,90.0,top
R2,84.08,-108.99,90.0,top
R3,93.1926,-154.7622,180.0,top
R4,93.1926,-156.8304,180.0,top
TP1,99.8,-155.2,0.0,top
TP10,153.500707,-112.500707,0.0,top
TP2,106.2,-155.1,0.0,top
TP3,61.3029,-106.5149,0.0,top
TP4,151.0,-119.0,0.0,top
TP5,93.0,-67.5,0.0,top
TP6,68.0,-103.0,0.0,top
TP8,112.6,-154.802,0.0,top
TP9,118.8,-153.0,0.0,top
U1,95.8,-52.761166,5.0,top
U2,80.598483,-96.625434,264.0,top
U3,69.33140711113761,-71.63863524780626,50.0,top
U4,131.135266,-88.228956,125.0,top
U5,94.965958,-134.796128,90.0,top
U6,46.677190313998445,-93.97000114145128,84.0,top
U8,130.4028,-133.5532,0.0,top
