Designator,Mid X,Mid Y,Rotation,Layer
C1,104.77,-82.37,90.0,top
C2,115.949999,-98.7425,270.0,top
C3,87.3,-119.44,270.0,top
C4,83.0,-96.03,180.0,top
D1,104.804607,-74.459669,260.0,top
D10,110.23261,-43.545872,260.0,top
D11,125.361795,-104.434776,170.0,top
D12,128.808622,-105.042544,170.0,top
D13,132.255448,-105.650313,170.0,top
D14,135.702275,-106.258082,170.0,top
D15,139.149102,-106.86585,170.0,top
D16,142.59593,-107.473619,170.0,top
D17,146.042757,-108.081388,170.0,top
D18,149.489585,-108.689156,170.0,top
D19,152.936412,-109.296925,170.0,top
D2,105.412376,-71.012842,260.0,top
D20,156.383238,-109.904694,170.0,top
D21,95.879091,-125.078787,80.0,top
D22,95.271322,-128.525614,80.0,top
D23,94.663554,-131.972442,80.0,top
D24,94.055785,-135.419269,80.0,top
D25,93.448016,-138.866096,80.0,top
D26,92.840248,-142.312923,80.0,top
D27,92.232479,-145.759749,80.0,top
D28,91.624711,-149.206576,80.0,top
D29,91.016942,-152.653404,80.0,top
D3,106.020144,-67.566014,260.0,top
D30,90.410339,-156.151208,80.0,top
D31,75.136598,-95.578719,350.0,top
D32,71.689771,-94.97095,350.0,top
D33,68.242944,-94.363181,350.0,top
D34,64.796117,-93.755413,350.0,top
D35,61.349291,-93.147645,350.0,top
D36,57.902464,-92.539876,350.0,top
D37,54.455636,-91.932107,350.0,top
D38,51.008809,-91.324339,350.0,top
D39,47.561981,-90.71657,350.0,top
D4,106.627913,-64.119187,260.0,top
D40,44.115154,-90.108801,350.0,top
D5,107.235682,-60.672359,260.0,top
D6,107.84345,-57.225533,260.0,top
D7,108.451219,-53.778706,260.0,top
D8,109.058988,-50.331879,260.0,top
D9,109.666756,-46.885052,260.0,top
J1,100.0,-68.81,0.0,bottom
J2,73.29955678841871,-114.095,240.0,bottom
J3,126.70044321158129,-114.095,120.0,bottom
TP1,98.24,-110.02,0.0,top
TP2,108.19,-107.07,0.0,top
TP3,107.65,-90.81,0.0,top
TP4,95.63,-90.84,0.0,top
TP5,87.58,-101.95,0.0,top
